name,count
amp,15034
is,1057392
a,1936240
double,3366
ampersand,17
may,759383
refer,5424
to,6032733
redirecting,53407
song,6172
the,5193507
single,7776
released,9276
by,707650
and,2304705
her,9054
number,23180
it,995705
came,6481
out,103294
on,785660
july,66840
was,697442
triple,1614
side,5123
also,142315
featured,3595
theme,641
nation,2280
which,99283
ayu,8
sang,215
three,25278
songs,2466
ourselves,226
days,42441
episode,2159
ii,45476
debuted,221
at,844289
one,440471
spot,1567
for,1423874
daily,953
weekly,459
monthly,309
japanese,3616
charts,1003
went,6565
sell,565
almost,4861
copies,1120
last,112268
over,36899
of,1349766
were,85908
composed,811
under,36966
nickname,526
crea,344
improve,92323
review,18260
requests,9183
listed,12529
deletion,42065
grammar,2269
corrections,891
need,50697
images,23151
translate,456
from,832979
vote,3007
image,85202
being,67282
used,121228
this,1524435
article,256489
i,369473
notice,16703
page,1111264
specifies,3833
that,591650
fair,43366
use,799331
but,184911
there,167419
no,95993
explanation,11738
or,840344
rationale,18261
as,986172
why,27885
its,179195
in,894501
constitutes,34447
addition,25199
boilerplate,2790
template,61844
you,4167565
must,21379
write,15328
description,14254
specific,7342
using,105189
each,17086
consistent,8272
with,526162
please,1754633
go,15624
edit,1055222
include,17217
templates,15411
guideline,16544
an,610747
easy,5088
way,32070
insure,2394
your,1448811
compliance,3277
policy,55177
remember,13643
complete,6379
do,448196
not,873259
simply,7694
insert,20241
blank,25157
if,1710005
other,247690
media,20865
consider,127037
checking,44805
have,589146
specified,13274
note,66408
any,478078
lacking,3558
such,255297
can,266096
be,1265157
deleted,33746
week,8897
after,162029
tagged,3822
described,5535
criteria,14237
speedy,17437
questions,171843
ask,85763
them,92859
copyright,39664
thank,699003
talk,826428
february,147187
pages,217833
notation,445
are,452214
occasionally,31909
silently,17
altered,586
actual,1949
usually,2421
acceptable,2123
some,116155
cases,42150
needed,42690
prevent,8856
normalization,51
e,55084
g,13257
then,176487
yet,14295
third,15087
album,9695
make,494046
say,8789
think,20262
march,161405
constellation,686
records,3862
chinatown,69
soundtrack,476
stephen,4252
s,509456
revolution,2638
first,57566
mini,679
self,11586
early,7571
contained,799
she,5970
had,44551
year,39146
before,53186
peaked,426
has,671346
been,934584
rated,11194
quality,12369
importance,9634
comments,69628
appropriate,30557
leave,32828
here,393720
identify,32245
strengths,19327
weaknesses,19318
what,49977
work,73573
will,471730
et,1660
cetera,24
new,53272
republic,4536
would,714520
like,729376
see,153014
moved,8154
c,103476
replacing,16730
current,9444
