id;answer
108;I tested all test data with the trained model’s output formula which can be seen below. Output = 1/(1 + e-(weight1*feature1 + weight2*feature2 + bias)) My success criteria is if one test data’s label is 1, it’s output must be equal or bigger than 0.5 and if one test data’s label is 0, it’s output must be smaller than 0.5. 
111;I wrote a discriminant function called discriminant which takes sample features, mean vector, covariance vector and class probability as parameters. I calculated discriminant values of all samples in classification_test dataset one by one. I compared the results of discriminant values. If the discriminant value of sample with class0 vectors is greater than class1 then I predicted 0 for that sample and vice versa.
112;For each test sample, discriminant function value is calculated for label 0 and label 1. If value for label 0 is bigger than label 1, sample is predicted as 0 otherwise 1. These results stored in y prediction vector.
114;Result of classification can be found when the part2_d.py file run. Classification result is stored in the classification list. 
115;325 testing sample has been predicted correctly.
117;I used the non-simplified form because I had different cases for each discriminant function class. 
118;The discriminant functions together correspond to a line between the distributions of 2 classes and they each predict the possibility of a point belonging to their class. 
119;I compared g1(x) and g2(x) for all testing samples and filled class labels for predicted table according to discriminant functions. I used g functions above. If g1(x) > g2(x), predicted label is 0, else predicted label is 1. 
120;Discriminant functions are used to predict labels of testing samples from classification_test.txt. If g1(xtst) ≥ g2(xtst) the predicted testing label is c1 else c2. 
122;Discriminant functions calculate a score for given features. So I calculated a score for each class with given input. Then I compared results and made a prediction about test data. With this mathmetical operations,I calculated correct prediction 354 for 400 test cases. 
124;Discriminant functions are used to predict labels of testing samples from classification_test.txt. If g1(x_tst) ≥ g2(x_tst) the predicted testing label is 0 else 1. 
126;I tested my classifier using classification_test dataset for both class 1 and class 2 discriminant functions computed before. They classified as class 1 if g1(xi) >= g2(xi), else classified as class 2.
130;In this part, I added new column to data, about my quess. If g1(x)>=g2(x), I added 1 else 0. 
131;"In order to predict label of each testing sample, discriminant functions are used. If g1(x) ≥ g2(x) then label is c1, otherwise; c2. Thus, It has been observed that how much the model has learned from the data. "
132;Correct Prediction is 354 
133;Classification can be achieved by the discriminant function.
135;The discriminant functions determine the test instances class by using the mean vector and covariance matrix of their class. We can determine the given instance’s class with comparing the discriminant functions of the classes. Which discriminant function gives the high result with that instance, will be the class of the given instance.
137;All the test samples are sent to the functions g1 and g2 row by row. These two function values are calculated and the greater one’s label is chosen as the prediction. For label 0 prediction, g1 is used and for label 1 prediction g2 function is used. For g1, mean vector of zero label (meanvec_zero), covariance matrice of zero label (covmat_zero) and probability of zero label(zero_prob) are used. For g2, meanvec_one cov_mat_one an done_prob are used.
139;Negative and positive examples in the data cannot be divided by a line, hence the non-zero values in the minor diagonals in the covariance matrices. The negative and positive examples are roughly in the same numbers, thus the probability of the classes are about the same. For the most part, the program can classify examples it has not seen, so we can say it generalizes well.
144;What we are essentially doing when we calculate the discriminant functions is using Bayes Rule to calculate the possibility of the class label being i when the x value is given. Thus if the discriminant function of c1 is larger than c2 then this x value has a larger probability of belonging to the c1 class.
145;My prediction is generated for each sample in test data by computing and comparing two discriminant functions written above (g1(x) and g2(x)). My python implementation file is named “Part2.py”. 
146;We compare g1(xtst) and g2(xtst)  for all test inputs. If g1(xtst) >= g2(xtst) , predicted label is 1 otherwise predicted label is 0. The z matrix (has 400 rows, 1 column) in the lfd2.m file is the prediction label matrix. In  the next step we will compare predicted labels and actual labels.
148;g 1(x) and g 2(x) values of testing samples are gathered. Each discriminant function has 2 values because of 2 features. So magnitude of g1 and g2 are compared. Whichever larger, gets the data to its class.
149;First, I calcuate the discriminant function of feature data. Then compare both of the results to decide data is in class1 or class2. I make a prediction with choosing the higher discriminant function. Then checked if my prediction is correct or not. In %88.5 of the cases, it predict the right class.
151;Discriminant function is negative square of distance from pattarn point to mean square of each class. If distance of first class is grater than second class pattern is in second class. It means g1(x) >= g2(x) pattern is in first class.
